"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2026","2.6730","2.6900","2.7015","2.6592","","-0.63%"
"01/01/2026","2.6900","2.6960","2.7013","2.6605","","-0.22%"
"12/01/2025","2.6960","2.7000","2.7038","2.6655","","-0.15%"
"11/01/2025","2.7000","2.7110","2.7183","2.6715","","-0.41%"
"10/01/2025","2.7110","2.7210","2.7300","2.6750","","-0.37%"
"09/01/2025","2.7210","2.6950","2.7440","2.6614","","0.96%"
"08/01/2025","2.6950","2.7035","2.7295","2.6627","","-0.31%"
"07/01/2025","2.7035","2.7210","2.7211","2.6745","","-0.64%"
"06/01/2025","2.7210","2.7330","2.7361","2.6926","","-0.37%"
"05/01/2025","2.7310","2.7460","2.7500","2.7035","","-0.55%"
"04/01/2025","2.7460","2.7600","2.7602","2.7152","","-0.51%"
"03/01/2025","2.7600","2.8063","2.8063","2.7340","","-0.90%"
"02/01/2025","2.7850","2.8480","2.8500","2.7500","","-2.21%"
"01/01/2025","2.8480","2.8150","2.8875","2.7771","","2.45%"
"12/01/2024","2.7800","2.8100","2.8900","2.7300","","0.72%"
"11/01/2024","2.7600","2.7400","2.8225","2.6950","","1.85%"
"10/01/2024","2.7100","2.7300","2.7650","2.6800","","0.18%"
"09/01/2024","2.7050","2.6880","2.7327","2.6635","","0.63%"
"08/01/2024","2.6880","2.6900","2.6953","2.6550","","-0.99%"
"07/01/2024","2.7150","2.7925","2.8055","2.6675","","-3.21%"
"06/01/2024","2.8050","2.7930","2.8850","2.7575","","0.43%"
"05/01/2024","2.7930","2.6780","2.8305","2.6437","","4.29%"
"04/01/2024","2.6780","2.6875","2.7000","2.6380","","-0.63%"
"03/01/2024","2.6950","2.6570","2.7201","2.6250","","1.43%"
"02/01/2024","2.6570","2.6725","2.6825","2.6125","","0.08%"
"01/01/2024","2.6550","2.6823","2.6974","2.6275","","-0.37%"
"12/01/2023","2.6648","2.6955","2.7050","2.6370","","-0.49%"
"11/01/2023","2.6780","2.7050","2.7170","2.6602","","-1.00%"
"10/01/2023","2.7050","2.6675","2.7075","2.6400","","1.31%"
"09/01/2023","2.6700","2.6300","2.6950","2.5935","","1.52%"
"08/01/2023","2.6300","2.6230","2.6402","2.5665","","0.27%"
"07/01/2023","2.6230","2.6025","2.6267","2.5398","","0.50%"
"06/01/2023","2.6100","2.6150","2.6475","2.5700","","-0.19%"
"05/01/2023","2.6150","2.4940","2.6150","2.4555","","4.85%"
"04/01/2023","2.4940","2.5450","2.5988","2.4825","","-1.34%"
"03/01/2023","2.5280","2.6025","2.6343","2.5365","","-2.21%"
"02/01/2023","2.5850","2.6375","2.6775","2.6012","","-1.34%"
"01/01/2023","2.6200","2.6825","2.7014","2.6162","","-2.96%"
"12/01/2022","2.7000","2.7025","2.7175","2.6420","","0.56%"
"11/01/2022","2.6850","2.7623","2.7777","2.6850","","-2.18%"
"10/01/2022","2.7448","2.8125","2.8450","2.7400","","-1.80%"
"09/01/2022","2.7950","2.8875","2.9051","2.8061","","-2.61%"
"08/01/2022","2.8700","2.7525","2.9151","2.6900","","4.94%"
